firstName|lastName|positionType|origin|destination
Emory|Jones|Offense|Florida|Arizona State
Hugh|Davis|Defense|Boston College|Louisiana Tech
Josh|Chandler|Defense|West Virginia|Colorado
Darius|Joiner|Defense|Western Illinois|Duke
Tyree|O'Neil|Offense|Buffalo|
Tyler|Steen|Offense|Vanderbilt|Alabama
Dalevon|Campbell|Offense|Illinois|Nevada
Jack|Burns|Offense|Cornell|Duke
Gary|Hoover|Offense|Ohio|
Nathan|Rawlins-Kibonge|Defense|Oklahoma|South Alabama
Coleon|Smith|Offense|Eastern Michigan|
Quincy|Patterson|Offense|North Dakota State|Temple
Jordan|Hornbeak|Offense|Fresno State|Northern Colorado
Aaron|McLaughlin|Offense|NC State|Jacksonville State
Desmond|Dan|Offense|Illinois|Southwest Minnesota State
Jared|Ivey|Defense|Georgia Tech|Ole Miss
Jason|Brooks|Offense|Vanderbilt|Oklahoma State
Kolby|White|Offense|Baylor|
Frederik|Antoine|Offense|Old Dominion|
Tre'Von|Morgan|Offense|Miami (OH)|
Earnest|Sanders|Offense|Kentucky|
Tyrone|Hopper|Defense|North Carolina|Missouri
Jordan|Brown|ATH|Kansas|Texas Tech
Chase|Monroe|Defense|Wake Forest|Charlotte
Devan|Barrett|Defense|Troy|
Michael|Mincey|ILB|Vanderbilt|Kennesaw State
Eli|Ricks|Defense|LSU|Alabama
Michael|DiLiello|Offense|Middle Tennessee|
Tyson|Thompson|Offense|Houston Christian|Rice
Peter|Costelli|Offense|Utah|Troy
Kylan|Watkins|Offense|Memphis|
Dar'jarri|Coleman|Defense|Jacksonville State|
Enoch|Nawahine|Offense|Utah State|
Gabriel|Murphy|Defense|North Texas|UCLA
Mari|Wingard|Defense|Elon|Georgia Southern
Weston|Reiman|Offense|Nebraska|
Marcel|Lewis|Defense|Central Michigan|
Patrick|Ballard|Offense|UNLV|Abilene Christian
Antonio|Montero|Defense|Rice|Villanova
Jakai|Torres|Offense|San José State|College of the Canyons
Cameron|Cooper|Offense|UTEP|
David|Afari|Offense|Miami (OH)|
Caleb|Fox|DT|Stephen F. Austin|TCU
Matt|Landers|Offense|Toledo|Arkansas
George|Takacs|Offense|Notre Dame|Boston College
Ryan|Thaxton|Defense|South Florida|
Naricuss|Driver|Offense|Southern Mississippi|Grambling
Chancellor|Bright|Offense|Marshall|
Corey|Wren|Offense|Florida State|TCU
Chance|Main|Defense|Incarnate Word|Colorado
Mason|Brotherton|Offense|Kansas|
Lincoln|Pare|Offense|Arkansas State|
Blake|Nelson|Offense|Louisville|
Ellison|Hubbard|Defense|Colorado State|Sam Houston State
Paul|Akere|WDE|Columbia|Virginia
Mazin|Richards|Defense|Eastern New Mexico|North Texas
Daemon|Hill|Defense|Central Michigan|Florida Atlantic
Chylon|Thomas|Offense|Charlotte|
Ja'Len|Sims|Defense|Memphis|
Nicario|Harper|Defense|Southern Mississippi|Louisville
Dontae|Lucas|Offense|Florida State|South Alabama
Zachary|Dixon|Defense|Georgia State|
William|Rogers|Defense|South Carolina|McNeese
Darrell|Jackson|Defense|Maryland|Miami
Garrett|Williams|Defense|Temple|Fordham
Velltray|Jefferson|Defense|Utah|Fresno State
Tyler|Brown|Offense|Louisiana|
Darius|Edmonds|Offense|Houston|
Jack|Buford|Offense|Arizona|Lindenwood University
Nick|Manson|Offense|Miami (OH)|
Michal|Antoine|Defense|Iowa State|Florida Atlantic
Kyle|Juergens|Offense|Boise State|Connecticut
Khali|Saunders|Defense|Purdue|
Sean|Pelkisson|Offense|Georgia Southern|
Kaylan|Wiggins|Offense|Florida International|
Jordon|Thomas|Defense|Texas|
Terrance|Marshall|Defense|Houston|Abilene Christian
Jordan|Robinson|Defense|Livingstone College|Kentucky
Alex|Nobles|ATH|North Carolina|
Ben|Renfro|Defense|Utah|
Clayton|Franks|Offense|Texas Tech|
Dorian|Hinton|Offense|Middle Tennessee|Florida Atlantic
Princeton|Pines|Offense|Sam Houston State|Tulane
Christian|Burkhalter|Defense|UCLA|Georgia Tech
Marcellus|Moore|Offense|Purdue|
Devin|Brumfield|Offense|Tulane|
Marquise|Freeman|Defense|Washington State|
Craig|McDonald|Defense|Iowa State|Auburn
Derrell|Bailey Jr.|Offense|Virginia Tech|South Florida
Josh|Landry|Defense|Baylor|Missouri
La'Dareyen|Craig|Defense|South Carolina|
Audley|Isaacs|Defense|Temple|Tarleton State
Chris|Childers|Offense|Indiana|San Diego
Teivis|Tuioti|Defense|Nevada|
Kristian|Williams|Defense|Oregon|
Elijah|Ball|Defense|Purdue|Eastern Illinois
Demaurez|Bellamy|Defense|South Florida|
CJ|Lewis|Offense|Boston College|Bowling Green
Lindsey|Scott|Offense|Nicholls|Incarnate Word
Clayton|Isbell|Defense|Illinois State|Utah
Eli|Fields|Offense|Florida Atlantic|
Kyron|Cumby|Offense|Texas Tech|
Ayodele|Adeoye|Defense|Texas|Sacramento State
Sterling|Miles|Defense|Cincinnati|
Darius|Bracy|Offense|Central Michigan|
Trent|Ward|Defense|North Texas|
Jakelyn|Morgan|Defense|Arizona|Louisiana Tech
Bryan|Robinson|Offense|Florida State|Marshall
Quinton|Cage|Defense|LSU|UT San Antonio
Rico|Powers|Offense|South Carolina|Jackson State
Marshall|Gill|Offense|VMI|New Mexico
Dmitri|Emmanuel|Offense|Charlotte|Florida State
Viliami|Tausinga|Defense|BYU|
Jordan|Addison|Offense|Pittsburgh|USC
DJ|Johnson|Defense|Illinois|Louisiana Tech
Tyler|Harrell|Offense|Louisville|Alabama
Ryan|Wills|Offense|Penn State|
Donald|Clea|Defense|Troy|
Cody|Goatley|Defense|Kentucky|Murray State
Tyler|Williams|LS|Washington State|
Jeminai|Leuta-Ulu|Offense|UNLV|
Jazston|Turnetine|Offense|South Carolina|Florida State
Parker|Navarro|Offense|UCF|Ohio
Da'Shawn|Elder|Defense|Virginia Tech|Middle Tennessee
Ja'Quez|Cross|Offense|Purdue|Arkansas State
Nick|Kargman|Offense|Western Michigan|Wagner
Jordan|Brunson|Offense|Virginia Tech|Miami (OH)
Ray|Rose|Offense|East Carolina|
Lorenzo|McCaskill|Defense|Louisiana|Kansas
Michael|Edwards|Defense|Georgia Southern|East Carolina
Zackary|Martin|Offense|Louisiana Monroe|Louisiana Monroe
Shamel|Lazarus|Defense|Connecticut|
Deondre|Doiron|Offense|Buffalo|Kansas
Ahmirr|Robinson|Offense|Rutgers|Texas State
Jacolby|Hewitt|Offense|Indiana|Florida International
Tyreke|Young|Defense|Temple|
Walter|Wilbon III|Offense|Ohio|Iowa Central C.C.
Dexter|Carter Jr.|Offense|Georgia Southern|
Brody|Wisecarver|Offense|Illinois|Tulsa
Jaxson|Dart|Offense|USC|Ole Miss
Darin|Turner|Offense|Arkansas|Alabama A&M
Andrew|Chatfield|Defense|Florida|Oregon State
Zeriah|Beason|Offense|Oregon State|Washington State
Nate|Adkins|Offense|East Tennessee State|South Carolina
Junior|Walling|Defense|Oregon State|
Kayode|Oladele|Defense|Memphis|
Cormontae|Hamilton|Defense|Ohio State|
Jeremiah|Frazier|Offense|Tennessee State|Troy
Trey|Adkins|Offense|South Carolina|Mercer
KJ|Trujillo|Defense|Wake Forest|
Michael|Lockhart|Defense|Georgia Tech|West Virginia
Darel|Middleton|Defense|West Virginia|
Quashon|Fuller|Defense|Florida State|Maryland
Ravontae|Holt|Defense|Wyoming|
Nadab|Joseph|Defense|Nebraska|
Steven|Losoya|Offense|Middle Tennessee|Mississippi State
Christian|Curatolo|Offense|Lehigh|Boston College
Tiaoalii|Savea|Defense|UCLA|Arizona
Jalik|Yancey|Defense|Eastern Michigan|
Tony|Wallace|Defense|TCU|UT San Antonio
Meki|Pei|Defense|Washington|
Kelsen|Hennessy|Defense|Oregon State|
Charles|Hicks|Defense|Wyoming|Missouri
Ryan|Keeler|Defense|Rutgers|
Deangelo|Gibbs|Offense|Tennessee|
Ja'Veon|Marlow|Offense|Vanderbilt|
Justin|Rogers|Offense|UNLV|
John|Brunner|Offense|North Texas|
Ridge|Jacobs|Offense|South Florida|
Dorian|Wesley|Defense|Toledo|
Kadyn|Roach|Offense|Louisiana Monroe|Southern Arkansas
Malik|Jackson|Offense|Maryland|
Daniel|Bushland|Offense|Texas A&M|
Jarrett|Preston|Defense|UT San Antonio|UT San Antonio
Desmond|Hutson|Offense|Iowa|
Ryan|Johnson|Defense|Stanford|Northwestern
Miles|Marshall|Offense|Indiana|Miami (OH)
Jadan|Blue|Offense|Temple|Virginia Tech
Jasir|Cox|Defense|North Dakota State|West Virginia
Jaquaez|Powell|Offense|East Carolina|
CJ|Jones|Offense|Western Kentucky|Western Kentucky
Tyrell|Robinson|Offense|Army|
Lorenza|Surgers|Defense|Vanderbilt|Minnesota
Myles|Cecil|Defense|Cal Poly|Vanderbilt
Cornelious|Brown|Offense|Georgia State|UT Martin
Detravion|Green|Defense|Arkansas State|Central Arkansas
Rickey|Hyatt|Defense|Kentucky|South Alabama
Chance|Lytle|Offense|Colorado|Duke
Jaquan|Amos|Defense|Iowa State|Ball State
Nikko|Remigio|Offense|California|Fresno State
Mekhi|Blackmon|Defense|Colorado|USC
Jaylin|Davies|Defense|Oregon|UCLA
Tyrik|McDaniel|ATH|Old Dominion|
Marshawn|Buchanan|Offense|Washington State|
Trevor|Arnett|Offense|Florida International|
John Rhys|Plumlee|Offense|UCF|UCF
Marquae|Kirkendoll|Defense|New Mexico|
Alex|Williams|Defense|Vanderbilt|
Sincere|David|Defense|Ole Miss|
Jacob|Clark|Offense|Minnesota|Missouri State
Mychal|Victor|Defense|UNLV|
Austin|Jarrard|Offense|Oklahoma State|Sacramento State
Nehki|Meredith|Defense|NC State|
Andre|Goodman|Offense|Appalachian State|Limestone College
Nathan|Manning|Offense|Arizona State|
Tylan|Knight|Offense|Ole Miss|Southern Mississippi
Dru|Polidore|Defense|Air Force|
Allan|Mwata|Defense|San Diego State|
Darnell|Jefferies|Defense|Clemson|Minnesota
Kristian|Varner|Defense|North Carolina|Georgia Southern
Cornelius|McCoy|Offense|Georgia State|Eastern Kentucky
Tyson|Watson|Defense|Michigan State|UMass
Jaylen|Johnson|Offense|Georgia|East Carolina
Darius|Muasau|Defense|Hawai'i|UCLA
Sharod|Johnson|Offense|Syracuse|Florida International
JJ|Jones|Offense|Dartmouth|New Mexico State
Monroe|Mills|Offense|Oklahoma State|Texas Tech
Cory|Gross|Defense|Buffalo|
Da'Shaun|Brown|Offense|Indiana|
Brice|Johnson|Offense|Ole Miss|Houston
Bryson|Shaw|Defense|Ohio State|USC
Anthony|Tocchini|Offense|New Mexico State|
Carter|Kamana|Offense|Washington State|
Samson|Jackson|Offense|Ohio|
Eddie|Smith|Defense|Illinois|Arkansas State
Mark|Pope|Offense|Miami|Jackson State
Kerry|Martin|Defense|West Virginia|Akron
Dillon|Markiewicz|Offense|Syracuse|Texas State
Sevyn|Banks|Defense|Ohio State|LSU
Montrell|Johnson|Offense|Louisiana|Florida
Isaiah|Epps|Offense|Kentucky|Tulsa
TJ|Graham|Offense|Texas State|
Will|Latu|Defense|Washington|
Cam'Ron|Ransom|Offense|Georgia Southern|
Brock|Sturges|Offense|Texas State|
Jordan|Jusevitch|Defense|Indiana|Indiana State
Sam|Brown|Offense|West Virginia|Houston
Cameron|Ward|Offense|Incarnate Word|Washington State
Mykal|McLeod|Offense|Southern Mississippi|
Preston|Lavant|Defense|Pittsburgh|
Justin|Clark|Defense|Toledo|Wisconsin
Stone|Earle|PRO|Abilene Christian|North Texas
Justin|Redd|Offense|Norfolk State|East Carolina
Orlando|Jones|Offense|SMU|
Lee|Hunter|Defense|Auburn|UCF
Cody|Jones|Defense|UMass|Georgia State
Andrew|Cole|Defense|Southern Mississippi|
Sean|McGonigal|Defense|South Carolina|
Ani|Izuchukwu|Defense|Mississippi State|Tulsa
Jaelen|Crider|Defense|Toledo|
Aaron|Brule|Defense|Mississippi State|Michigan State
Jonny|Fanaika|Defense|Utah|
Brendon|Clark|Offense|Notre Dame|Old Dominion
Eddie|Schott|PRO|Ball State|Butler
John David|White|Offense|Arkansas|Central Arkansas
Branden|Coleman|Defense|Colorado State|
Jamari|Stewart|Defense|South Florida|
Jairus|Satiu|Defense|Virginia|
Gabriel|Iniguez|Defense|Hawai'i|
Tyrese|Williams|Offense|Oklahoma State|Oklahoma State
Mata|Hola|Defense|Utah State|
Cody|Brown|Offense|Miami|Virginia
Kendall|Catalon|Offense|Arkansas|
Kobie|Turner|Defense|Richmond|Wake Forest
Carter|Short|LS|Alabama|
Amauri|Pesek-Hickson|Offense|Kansas|Northern Iowa
Zamari|Ellis|Defense|Duke|
Deuce|Hogan|Offense|Iowa|Kentucky
Lucious|Stanley|Offense|UAB|
Tristan|Golightly|Offense|Kansas|Abilene Christian
Ben|Gansallo|Defense|New Mexico|
Cedrice|Paillant|Offense|Rutgers|Marshall
Sawyer|Racanelli|Offense|Washington|Montana
Todd|Centeio|Offense|Colorado State|James Madison
Keylin|Roach|Defense|Marshall|
Rashad|Ajayi|Defense|Colorado State|West Virginia
Anthony|Watts|Defense|Purdue|Marshall
Kai|Arneson|Offense|Oregon|Nevada
C.J.|Person|Defense|Indiana|South Alabama
Carter|Carlson|Defense|Washington State|
Kevaris|Hall|Defense|Tulane|SMU
Aapri|Washington|Defense|Buffalo|East Carolina
Emmanuel|Flowers|Defense|Michigan State|
Dreshun|Miller|Defense|Auburn|NC State
Devonta|Lee|Offense|LSU|Louisiana Tech
Brian|Greene|Offense|Washington State|Michigan State
Mikel|Barkley|Offense|TCU|
Marcis|Floyd|Defense|Murray State|West Virginia
Solomon|Byrd|Defense|Wyoming|USC
Devunte|Dawson|Defense|UCF|
Devell|Washington|Defense|West Virginia|
Mohamed|Sanogo|Defense|Ole Miss|Louisville
Cecil|Singleton|Defense|Miami (OH)|
Shepherd|Bowling|Defense|Army|Rice
Malcolm|Johnson|Defense|UNLV|
Khari|Gee|Defense|Notre Dame|Georgia Tech
J.D.|DiRenzo|Offense|Sacred Heart|Rutgers
Agiye|Hall|Offense|Alabama|Texas
Naijee|Jones|Defense|Rutgers|Kent State
Victory|Vaka|Defense|BYU|
Jason|Eaton|Offense|Eastern Michigan|
Arna|Bontemps|Defense|Washington State|
Vincent|Murphy|Offense|South Carolina|Western Kentucky
Jordan|Carmouche|Defense|Houston|Arkansas State
Cinque|Williams|Defense|North Texas|
Hunter|Green|Defense|Virginia Tech|
Jaylen|Larry|Offense|UMass|
Quinn|Potts|Defense|New Mexico|
Tyrek|Tisdale|Offense|Florida Atlantic|St. Thomas University
Tyler|Rudolph|Defense|Penn State|UMass
Myles|Williamson|Defense|Bowling Green|
Naquan|Brown|Defense|Pittsburgh|Norfolk State
Lovasea|Carroll|Offense|Georgia|South Carolina
Jack|Abraham|Offense|Mississippi State|Missouri
Kamal|Gray|Offense|Temple|Stetson
Darvon|Hubbard|Offense|Texas A&M|Temple
Ibrahim|Kante|Defense|NC State|Buffalo
Armondous|Cooley|Defense|Mississippi State|Southern Mississippi
LaMarque|Davis|Defense|Southern Mississippi|
Conner|Lewis|Defense|Arizona State|
Chris|Harris Jr.|Defense|Georgia Southern|
Josh|Trice|Defense|Georgia Southern|
Jalen|Kimber|Defense|Georgia|Florida
Ben|Hines|Defense|Washington|
Jacolbe|Cowan|Defense|Ohio State|North Carolina
Brian|Polendey|Offense|Colorado State|West Virginia
Aaron|Willis|Defense|Tennessee|Houston
Joey|Ramos|Offense|Iowa State|Arizona State
Devonte|Nelson|Defense|Memphis|
Nick|DeGennaro|Offense|Maryland|
Derrick|Smith|Defense|Illinois|Western Kentucky
Kobe|Hylton|Defense|Louisiana|UTEP
Jerrod|Means|Offense|Louisiana Tech|Pittsburgh
Aamaris|Brown|Defense|Kansas State|South Florida
Luke|Anthony|Offense|Louisiana Tech|Baylor
Dante|Zanders|Defense|Florida|Florida
Myles|McNeal|Defense|Eastern Michigan|
Marcus|Bragg|Defense|Western Kentucky|Auburn
Dino|Tomlin|Offense|Maryland|Boston College
Ulysses|Bentley|Offense|SMU|Ole Miss
Tre'mond|Shorts|Offense|East Tennessee State|LSU
Hunter|Nourzad|Offense|Cornell|Penn State
Christian|Beal-Smith|Offense|Wake Forest|South Carolina
Casey|Collier|Offense|USC|Oklahoma State
Clay|Webb|Offense|Georgia|Jacksonville State
Ben|Langston|Defense|Missouri|
Matt|Bjorson|Offense|Indiana|Miami (OH)
Cade|Fortin|Offense|South Florida|Arkansas
Jeremiah|McClendon|Defense|Marshall|
Cody|Shear|Offense|Syracuse|
Ryan|Jacoby|Offense|Ohio State|Pittsburgh
Olasunkonmi|Agunloye|Defense|Virginia|Virginia
Olivier|Charles-Pierre|Defense|Houston|
John Paul|Flores|Offense|Dartmouth|Virginia
Keilon|Brown|Offense|Memphis|Georgia State
Peni|Naulu|Offense|Washington State|Northern Iowa
Keith|Miller|Offense|Colorado|Texas A&M Commerce
Nolan|Gorczyca|Offense|Buffalo|Kansas
Thomas|Nance|Offense|South Florida|
Darius|Williams|Defense|Middle Tennessee|
Tyrin|Smith|Offense|UTEP|
Caleb|Offord|Defense|Notre Dame|Buffalo
A.J.|Campbell|Defense|UCLA|Kent State
Jalen|McGaughy|Offense|Ball State|
Myles|Brennan|Offense|LSU|
Latrell|McCutchin|Defense|Oklahoma|USC
TJ|Steele|Offense|TCU|
Dayton|Toney|Offense|Hawai'i|Incarnate Word
Tyler|Guyton|Offense|TCU|Oklahoma
Camar|Wheaton|Offense|Alabama|SMU
Bishop|Johnson|Offense|Army|
Zach|Breaux|Offense|Louisiana Monroe|Jackson State
Alijah|Clark|Defense|Rutgers|Syracuse
Micaiah|Overton|Defense|Liberty|Texas A&M
Dominique|Shoffner|Offense|Charlotte|
Geoff|Cantin-Arku|Defense|Syracuse|Memphis
Woobendy|Guerrier|Defense|Akron|
Greedy|Vance|Defense|Louisville|Florida State
Justin|Tomlin|Offense|Georgia Southern|
Maverick|McIvor|Offense|Texas Tech|Abilene Christian
Malik|Heath|Offense|Mississippi State|Ole Miss
Damian|Lopez|Offense|USC|
Wynden|Ho'ohuli|Defense|Nebraska|Hawai'i
Curley|Young|Defense|California|
Rod|Green|Offense|Grambling|
Brian|Cobbs|Offense|Maryland|Utah State
Andrew|VanBuren|Offense|Boise State|Portland State
Juan|Harris|Defense|Indiana|
D'Marcus|Adams|Offense|Florida Atlantic|Syracuse
Brendan|Bordner|Offense|Rutgers|Florida Atlantic
Solomon|Wright|Defense|Arkansas|Oklahoma State
Isaiah|Jacobs|Offense|Maryland|
Kason|Martin|Offense|North Texas|Eastern New Mexico
Dominick|Hill|Defense|South Carolina|Temple
Isaac|Smith|Offense|Wisconsin|
TJ|Smith|Defense|Georgia State|Limestone College
Noah|Nelson|Offense|Oklahoma|Northern Arizona
Crishawn|Long|Defense|Purdue|
Antoine|Robinson|Offense|Southern Mississippi|
Mark|Davis|Defense|Buffalo|
Tyrone|Tracy|Offense|Iowa|Purdue
Jermaine|Burton|Offense|Georgia|Alabama
Shawn|Robinson|Defense|Missouri|Kansas State
Douglas|Emilien|Offense|Minnesota|Kansas
Rico|Small|Offense|Eastern Michigan|
Chase|Lasater|Defense|Florida Atlantic|Eastern Kentucky
Jaylan|Jeffers|Offense|Oregon|UCLA
CJ|Boone|Offense|New Mexico|
Theo|Wease|Offense|Oklahoma|Oklahoma
Hayes|Gibson|Offense|Iowa State|
Tyler|Stephens|Offense|Buffalo|Missouri
Colby|Reeder|Defense|Delaware|Iowa State
Alexandre|Dumais|Defense|Fresno State|
Nelson|Mbanasor|Defense|Louisiana Tech|
Darion|Green-Warren|Defense|Michigan|Nevada
Daniel|Grzesiak|Defense|Nevada|
Braxton|Burmeister|Offense|Virginia Tech|San Diego State
De'Arre|McDonald|Defense|Cincinnati|Middle Tennessee
Morris|Joseph|Defense|Memphis|Georgia Tech
Jam|Griffin|Offense|Georgia Tech|Oregon State
Cooper|Shults|Offense|Oregon|Nevada
Donny|Navarro|Offense|Illinois|Northwestern
Andrew|Mims|Defense|South Florida|
Tyon|Merchant|Defense|Texas State|
Koby|Perry|Defense|Austin Peay|UCF
Dallas|Gant|Defense|Ohio State|Toledo
Daniel|Ogundipe|Offense|Old Dominion|
K'Rojhn|Calbert|Offense|Tennessee|Eastern Kentucky
Nigel|Fitzgerald|Offense|Old Dominion|Connecticut
AJ|Mayer|Offense|Miami (OH)|
Kameren|Stewart|Offense|Coastal Carolina|
Lamar|Goods|Defense|Florida|
Noah|Palmer|Defense|Pittsburgh|
Reece|Jesse|Offense|Louisville|
Hunter|Johnson|Offense|Northwestern|Clemson
Litchfield|Ajavon|Defense|Notre Dame|Rice
Andrew|Brito|Offense|UCF|
Julius|Bolden|Offense|Northern Illinois|
Christian|Singleton|Offense|Western Michigan|
Randy|Jordan Jr.|Defense|Fresno State|
Brooks|Weeks|Defense|Troy|
Jeff|Marks|Defense|Purdue|
Blayne|Toll|Defense|Colorado|Arkansas State
Jordan|Weeks|Offense|UT San Antonio|
Nick|Evans|Defense|UT San Antonio|
Jayce|Medlock|Offense|Connecticut|Alabama State
Noah|Whittington|Offense|Western Kentucky|
Knowledge|McDaniel|Offense|Marshall|
Paul|Moala|Defense|Notre Dame|
Aaron|Pierre|Defense|Liberty|
Femi|Sakiri|Offense|Connecticut|
Jaelon|Travis|Offense|Kansas State|Butler County (KS)
Wylan|Free|Defense|Fresno State|Georgia Southern
Devonte|Wilson|Defense|Kansas|Florida A&M
Zach|Portlock|Defense|Southern Mississippi|
Peter|Montini|Defense|Nevada|Colorado State
Jack|Wilty|Offense|Northern Illinois|Iowa Central C.C.
Marcel|Walker|Offense|Southern Connecticut State|Nevada
Canaan|Clark|Offense|East Carolina|
Ahmonte|Watkins|Offense|TCU|New Mexico State
Dwayne|Thompson|Defense|Indiana State|
Sofian|Massoud|Offense|Houston|Hampton
Nickolas|Tshivuadi|Offense|South Florida|
Ty'Ron|Hopper|Defense|Florida|Missouri
Fred|Jackson|Offense|Coastal Carolina|
Semaj|Verner|Defense|Boise State|
Cam|Phillips|Defense|Arizona State|
Hunter|Sellers|Defense|Pittsburgh|New Mexico
Cade|Bennett|Offense|Oklahoma State|San Diego State
Jake|Pope|Offense|Kentucky|
Mike|Ciaffoni|Offense|Colorado State|Rutgers
Jeremy|Moussa|Offense|Vanderbilt|Florida A&M
Jarius|Monroe|Defense|Nicholls|Tulane
Dontae|Keys|Offense|Florida International|Colorado State
Gabe|Lemons|Defense|Oklahoma State|
Justin|Robinson|Offense|Georgia|Mississippi State
Levar|Gumms|Offense|Central Michigan|
Rafael|McCoy|Offense|Old Dominion|
Carson|Tabaracci|Defense|Utah|USC
Lloyd|Murray Jr.|Defense|Colorado|Sam Houston State
Jarveon|Howard|Offense|Syracuse|Alcorn State
Carson|Smith|Offense|Washington|
OrTre|Smith|Offense|South Carolina|North Carolina Central
Nick|Turner|Defense|Arkansas|Toledo
Nick|Mercer|Defense|Georgia Southern|
Jack|Kristofek|Offense|Mississippi State|Arkansas State
Sammy|Faustin|Defense|Michigan|UMass
Luke|Felix-Fualalo|Offense|Utah|Hawai'i
Cole|DeMarzo|Defense|Michigan State|Wyoming
Nate|Harris|Defense|LSU|
Ky|Thomas|Offense|Minnesota|Kansas
Uriah|Greene|Offense|South Florida|
Jalen|Williams|Defense|Arkansas|Southern Mississippi
Morgan|Moore|Offense|Texas State|
Jordon|Brookshire|Offense|San Diego State|
Jadarius|Green-McKnight|Defense|Florida State|Marshall
Jack|Plummer|Offense|Purdue|California
Cam|Goode|Defense|UCF|Michigan
Rome|Weber|Defense|Wyoming|Western Kentucky
Shane|Lee|Defense|Alabama|USC
Josh|Oglesby|Offense|Arkansas|Stephen F. Austin
Chayden|Peery|Offense|Georgia Tech|
Matthew|Downing|Offense|TCU|Louisiana Tech
Chop|Robinson|Defense|Maryland|Penn State
Anthony|Price|Offense|Arkansas State|
Kajiya|Hollawayne|Offense|UCLA|Grambling
Willie|Hampton|Defense|Western Carolina|Buffalo
Jayden|Williams|Defense|USC|Louisville
JP|Andrade|Offense|Ohio State|
Cam|Williams|Defense|Troy|
Maninoa|Tufono|Defense|USC|
Tyson|Bagent|Offense|Shepherd|Shepherd
Kody|Fulp|Defense|North Texas|
JoJo|Johnson|Defense|Notre Dame|
Cortez|Andrews|Defense|Florida State|
Tyrone|Howell|Offense|Kansas State|Louisiana Monroe
Jamal|Morris|Defense|Oklahoma|Houston
Travis|Dye|Offense|Oregon|USC
Tru|Edwards|Offense|Hawai'i|
Katravis|Geter Jr.|Offense|Florida International|
Garrett|Jones|Offense|Kansas|
Anthony|Hundley|Defense|UCF|
Keithron|Lee|Offense|Texas|
Xavier|Young|Defense|Washington State|
Joey|Carroll|Offense|Bowling Green|
Matthew|Hightower|Defense|Tulane|
Darius|Hodges|Defense|Tulane|Tulane
Deondre|Jackson|Offense|Texas A&M|Oklahoma State
Nolan|Rumler|Offense|Michigan|Kent State
Sean|Chambers|Offense|Wyoming|Montana State
Ezrah|Archie|Offense|Monmouth|Georgia Southern
Jaali|Parker|Defense|Western Michigan|
Dillon|Gabriel|Offense|UCF|Oklahoma
Michael|Alaimo|Offense|Purdue|Purdue
Dacoda|Weaver|Offense|Florida Atlantic|Delta State
Jiovanny|Holmes|Defense|Boston College|
Tray|Pettway|Offense|UMass|Northern Arizona
Calvin|McMillian|Offense|Mississippi State|Southern Mississippi
Jailen|Nias|ATH|Buffalo|
Deonte|Simpson|Offense|North Texas|
Joshua|Burdsall|Defense|Old Dominion|
Trustin|Oliver|Defense|Colorado|Central Arkansas
George|Johnson III|Defense|Michigan|UMass
Javione|Carr|Defense|Arizona|Kansas State
Bryce|Miller|Offense|South Florida|
Tarique|Milton|Offense|Iowa State|Texas
